Счет,OpertnDate,Adresat,Ist,TovCode,EdIzmer,Kolvo,Place,пп/пк,Комиссионер
5/пп/26,04.01.26,"ООО ""ПРОМЛАЙФ""",х9344,"Полиэтилен-HD 10500 FE",тн,22.5,"АО ""НСК""",,
10т/26Б,08.01.26,"ООО ""Авалон-С""",х9179,"Полипропилен-гранулиров. (РР Н030)",тн,20,"АО ""НСК""",,
10/ПК/26,12.01.26,"ООО ""АИС ГРУПП""",х9136,"Полипропилен-PP I013 GP/5",тн,0.35,"АО ""НСК""",,
32а/пп/26,13.01.26,"ООО ""ЕвроСтрой""",х9109,"Полиэтилен-HD 03580 SB",тн,0.335,"АО ""НСК""",,
34/пп/26,13.01.26,"ООО ""ЭФЦЕТ""",х9071,"Полиэтилен-HD 80520 FE",тн,7.5,"АО ""НСК""",,
23а/пп/26,13.01.26,"ООО ""КАРАТ НЧ""",х8829,"ПВД-15303-003 вс",тн,0.5,"АО ""НСК""",,
36/пп/26,13.01.26,"ООО ""ПроСинтез""",х9226,"ПВД-10803-020 ВС",тн,0.5,"АО ""НСК""",,
35/пп/26,13.01.26,"ООО ""ПроСинтез""",х9296,"ПВД-15803-020 вс",тн,0.75,"АО ""НСК""",,
20/ПК/26,13.01.26,"ООО ""АИС ГРУПП""",х8938а,"Полиэтилен-HD 03580 SB",тн,1.7,"АО ""НСК""",,
24/пп/26,13.01.26,"ООО ""ЗАВОД ВОЛГА ПОЛИМЕР""",х8976,"Полипропилен-гранулиров. (РР Н030)",тн,8.775,"АО ""НСК""",,
32а/пп/26,13.01.26,"ООО ""ЕвроСтрой""",х8938а,"Полиэтилен-HD 03580 SB",тн,4.15,"АО ""НСК""",,
31а/пп/26,13.01.26,"ООО ""ЕвроСтрой""",х9112,"Полиэтилен-HD 85612 IM",тн,1.375,"АО ""НСК""",,
32а/пп/26,13.01.26,"ООО ""ЕвроСтрой""",х9094,"Полиэтилен-HD 03580 SB",тн,0.015,"АО ""НСК""",,
