source_pdf,page,group_code,pdf_material_name,rashod_tn,extract_status,notes
сканирование1622 (1).pdf,2,277-0007-001,"Полиэтилен 15803-020 (1мх25кг) Уфа ПАЛЛЕТЫ 2скл.",18.325,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0008,"Полипропилен PP H 030 Казахстан (европоддоны/навал/без поддонов)",83.775,confirmed,"итого по коду"
сканирование1622 (1).pdf,2,277-0045-000,"Полиэтилен 10803-020 (1мх25кг) Казань 1скл.",1.875,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0054-001,"Полиэтилен LL 0920 TR/5 (1х25кг) 2скл.",10.85,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0055-001,"Полиэтилен PE HD A (1х25кг) Тобольск 2скл.",22.5,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0064-001,"Полипропилен PP H 030 GP/1 (1мх25кг) Томск 2скл.",0,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0076-001,"Полипропилен PP H 030 GP/3 (1мх25кг) Тобольск 2скл.",13.025,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0086,"Полиэтилен HD 85612 IM Казань",0,confirmed,"итого по коду"
сканирование1622 (1).pdf,2,277-0089-001,"Полипропилен PP H 550 (1х25кг) Казахстан ПАЛЛЕТЫ 2скл.",15,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,277-0092-001,"Полиэтилен ВД 15803-020-С (1мх25кг) Салават ПАЛЛЕТЫ",0,confirmed,"строка таблицы"
сканирование1622 (1).pdf,2,TOTAL,"Итого по складу",165.35,confirmed,"итоговая строка"
