товар;xlsx_вес;pdf_вес;разница_pdf_minus_xlsx;статус
НЕРАСПОЗНАННЫЕ ПОЗИЦИИ ИЗ PDF;0;196.2;196.2;missing_in_xlsx
ПВД-10803-020 ВС;40.1;40.1;0;match
ПВД-15303-003 вс;21;0.5;-20.5;diff
ПВД-15803-020 вс;119.7;0;-119.7;missing_in_pdf
ПВД-15803-020-С вс;4.825;0;-4.825;missing_in_pdf
ПВД-15813-020 вс;24.625;24.625;0;match
Полипропилен PPH 030 GP/6? (группа Омск, код уточнить);0;31.625;31.625;missing_in_xlsx
Полипропилен-PP H030 GP;1.375;0;-1.375;missing_in_pdf
Полипропилен-PP H030 GP/1;10.5;0;-10.5;missing_in_pdf
Полипропилен-PP H030 GP/3;56.075;57.45;1.375;diff
Полипропилен-PP H030 GP/8;9.625;0;-9.625;missing_in_pdf
Полипропилен-PP H350 GP/2;4.275;4.275;0;match
Полипропилен-PP H450 GP/1;0.7;0.7;0;match
Полипропилен-PP I013 GP/5;33.725;33.725;0;match
Полипропилен-SIBEX PP H270 FF/3;21;21;0;match
Полипропилен-SIBEX PP H350 FF/3;0.525;0.525;0;match
Полипропилен-SIBEX PP R401 IM/5;81.65;83.15;1.5;diff
Полипропилен-гранулиров. (РР Н030);83.775;83.775;0;match
Полипропилен-гранулиров. (РР Н550);15;15;0;match
Полиэтилен 15803-020 (1мх25кг) Уфа ПАЛЛЕТЫ 2скл.;0;18.325;18.325;missing_in_xlsx
Полиэтилен-HD 03580 SB;54.8;54.8;0;match
Полиэтилен-HD 10500 FE;157.5;157.5;0;match
Полиэтилен-HD 12443 FE;58.375;58.375;0;match
Полиэтилен-HD 12500 LB;2.75;2.75;0;match
Полиэтилен-HD 18520 IM;22;22;0;match
Полиэтилен-HD 80520 FE;44;44;0;match
Полиэтилен-HD 85612 IM;43.975;64.6;20.625;diff
Полиэтилен-LL 0920 TR/5;10.58;10.85;0.27;diff
Полиэтилен-LL 09200 FE;23.25;66.75;43.5;diff
Полиэтилен-LL 30200 FE;34.8;70.35;35.55;diff
Полиэтилен-PE HD A;22.5;22.5;0;match
Полиэтилен-PE LD 40200 FА;22.5;0;-22.5;missing_in_pdf
ИТОГО;1025.505;1185.45;159.945;
